title,series,author,genre,date_published,publisher,lang,review_count,rating_count,rate,award,publisher_clean
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",False,Julie Powell,Nonfiction,2005.0,Little Brown and Company,English,8033,161741,3.7,0,littlebrowncompany
"Possession of My Heart (The Three Immortal Blades, #2)",True,Kia Carrington-Russell,Unknown,2014.0,Crystal Publishing,English,25,4852,3.5,0,crystalpublishing
Change of Heart,False,Jodi Picoult,Fiction,2008.0,Atria Books,English,6701,111976,3.91,2,atriabooks
The Audacity of Hope: Thoughts on Reclaiming the American Dream,False,Barack Obama,Nonfiction,2006.0,Crown Publishers,English,5589,161016,3.78,1,crownpublishers
A Man Called Ove,False,Fredrik Backman,Fiction,2014.0,Atria Books,English,76170,700051,4.35,0,atriabooks
The Tiger's Wife,False,Téa Obreht,Fiction,2011.0,Random House,English,10981,100772,3.42,5,randomhouse
"An Echo in the Bone (Outlander, #7)",True,Diana Gabaldon,Historical,2010.0,Orion,English,6640,134288,4.4,2,orion
Moneyball: The Art of Winning an Unfair Game,False,Michael   Lewis,Nonfiction,2004.0,W. W. Norton  Company,English,5277,116846,4.22,2,wwnortoncompany
Wild: From Lost to Found on the Pacific Crest Trail,False,Cheryl Strayed,Nonfiction,2012.0,Knopf,English,42376,683997,4.02,4,knopf
"Inferno (Robert Langdon, #4)",True,Dan Brown,Fiction,2013.0,Doubleday,English,37865,512171,3.86,1,doubleday
"The Present (VanWest, #2)",True,Kenneth   Thomas,Science Fiction,2020.0,Unknown,English,120,10493,4.27,0,unknown
"The Rosie Project (Don Tillman, #1)",True,Graeme Simsion,Fiction,2013.0,Simon & Schuster,English,42389,494118,4.01,5,simonschuster
"Poison Study (Study, #1)",True,Maria V. Snyder,Fantasy,2007.0,Mira,English,12371,163800,4.07,3,mira
"Club Dead (Sookie Stackhouse, #3)",True,Charlaine Harris,Fantasy,2006.0,Orbit,English,5652,237213,3.99,0,orbit
The Kitchen House,False,Kathleen Grissom,Historical,2010.0,Atria Books,English,19147,252618,4.18,1,atriabooks
The Sea,False,John Banville,Fiction,2006.0,Vintage,English,2698,30603,3.52,4,vintage
Rules of Civility,False,Amor Towles,Fiction,2011.0,Viking Adult,English,16829,174412,4.04,2,vikingadult
"City of Heavenly Fire (The Mortal Instruments, #6)",True,Cassandra Clare,Fantasy,2014.0,Margaret K. McElderry Books,English,25346,337822,4.39,2,margaretkmcelderrybooks
"Fifty Shades Freed (Fifty Shades, #3)",True,E.L. James,Romance,2012.0,Vintage Books,English,26765,768760,3.84,1,vintagebooks
Fragile Things: Short Fictions and Wonders,True,Neil Gaiman,Fantasy,2006.0,William Morrow,English,4063,74379,3.91,4,williammorrow
Can You Keep a Secret?,False,Sophie Kinsella,Womens Fiction,2005.0,Dell Publishing Company,English,13080,407739,3.84,0,dellpublishingcompany
Against the Day,False,Thomas Pynchon,Fiction,2006.0,Penguin Press,English,861,11587,3.86,3,penguinpress
"Evermore (The Immortals, #1)",True,Alyson Noel,Young Adult,2009.0,St. Martin's Griffin,English,9979,284693,3.59,2,stmartinsgriffin
The Light Between Oceans,False,M.L. Stedman,Fiction,2012.0,Scribner,English,35837,428441,4.02,7,scribner
"The Wedding (The Notebook, #2)",True,Nicholas Sparks,Romance,2005.0,Vision,English,6374,148794,3.97,0,vision
Outliers: The Story of Success,False,Malcolm Gladwell,Nonfiction,2008.0,Little Brown and Company,English,28333,646813,4.17,0,littlebrowncompany
Dark Places,False,Gillian Flynn,Mystery,2009.0,Shaye Areheart Books,English,37820,649932,3.93,2,shayeareheartbooks
Matterhorn,False,Karl Marlantes,Fiction,2009.0,El Leon Literary Arts,English,3344,42932,4.17,5,elleonliteraryarts
"Mayflower: A Story of Courage, Community, and War",False,Nathaniel Philbrick,History,2006.0,Viking,English,2884,44755,3.83,2,viking
Don't Close Your Eyes,True,Lynessa Layne,Romance,2020.0,Lynessa Layne Literature,English,49,574,3.92,0,lynessalayneliterature
Explosion in Paris,False,Linda Masemore Pirrung,Romance,2009.0,iUniverse.com,English,98,5168,3.49,0,iuniversecom
"Dead in the Family (Sookie Stackhouse, #10)",True,Charlaine Harris,Fantasy,2010.0,Ace Books,English,5602,160367,3.88,1,acebooks
"Complicated Moonlight (DCYE, #2)",True,Lynessa Layne,Polyamorous,2020.0,Lynessa Layne Literature,English,14,333,4.32,0,lynessalayneliterature
"All Together Dead (Sookie Stackhouse, #7)",True,Charlaine Harris,Fantasy,2007.0,Ace Books,English,3721,197565,4.04,0,acebooks
The Snow Child,False,Eowyn Ivey,Fiction,2012.0,Reagan Arthur Books,English,16085,131505,3.97,5,reaganarthurbooks
"Pretties (Uglies, #2)",True,Scott Westerfeld,Young Adult,2005.0,Simon Pulse,English,10566,250238,3.84,0,simonpulse
I Am the Messenger,False,Markus Zusak,Young Adult,2006.0,Alfred A. Knopf Borzoi Books,English,14706,154529,4.01,5,alfredaknopfborzoibooks
Inherent Vice,False,Thomas Pynchon,Fiction,2009.0,Penguin Press,English,2607,33025,3.72,0,penguinpress
A Painted House,False,John Grisham,Fiction,2004.0,Bantam,English,4358,89986,3.71,1,bantam
The Fortress of Solitude,False,Jonathan Lethem,Fiction,2005.0,Faber and Faber,English,1517,25671,3.79,1,faberfaber
"Linger (The Wolves of Mercy Falls, #2)",True,Maggie Stiefvater,Young Adult,2010.0,Scholastic Press,English,9742,168673,3.88,2,scholasticpress
Look Me in the Eye: My Life with Asperger's,False,John Elder Robison,Nonfiction,2007.0,Crown,English,4336,67814,3.89,1,crown
"From Dead to Worse (Sookie Stackhouse, #8)",True,Charlaine Harris,Fantasy,2008.0,Ace Books,English,3840,185426,3.99,0,acebooks
"Pattern Recognition (Blue Ant, #1)",True,William Gibson,Science Fiction,2005.0,Berkley Books,English,2242,52058,3.84,4,berkleybooks
JPod,False,Douglas Coupland,Fiction,2007.0,Bloomsbury Publishing PLC,English,987,22634,3.66,1,bloomsburypublishing
The Dive from Clausen's Pier,False,Ann Packer,Fiction,2003.0,Vintage,English,1924,26832,3.44,1,vintage
The Kindly Ones,False,Jonathan Littell,Fiction,2009.0,Harper,English,1194,14825,3.85,5,harper
Magical Thinking: True Stories,False,Augusten Burroughs,Nonfiction,2005.0,Picador USA,English,1662,60625,3.91,0,picador
"Teacher Man (Frank McCourt, #3)",True,Frank McCourt,Nonfiction,2006.0,Scribner,English,2411,41835,3.7,1,scribner
"Wildalone (Wildalone Sagas, #1)",True,Krassi Zourkova,Fantasy,2015.0,William Morrow,English,490,6845,3.41,0,williammorrow
Those Who Save Us,False,Jenna Blum,Historical,2005.0,Harcourt Books,English,6815,101470,4.09,0,harcourtbooks
The Book of Occult,False,Simon W. Clark,Fiction,2013.0,Itoh Press,English,94,8422,3.67,0,itohpress
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",True,Robin Sloan,Fiction,2012.0,Farrar Straus and Giroux,English,26707,188923,3.73,5,farrarstrausgiroux
"Mistress of the Art of Death (Mistress of the Art of Death, #1)",True,Ariana Franklin,Historical,2007.0,G.P. Putnam's Sons,English,3066,43740,3.89,2,gpputnamssons
"The Lies of Locke Lamora (Gentleman Bastard, #1)",True,Scott Lynch,Fantasy,2006.0,Bantam Spectra,English,16685,259013,4.25,5,bantamspectra
The Reluctant Fundamentalist,False,Mohsin Hamid,Fiction,2007.0,Harcourt,English,6559,73583,3.71,4,harcourt
Falling Man,False,Don DeLillo,Fiction,2007.0,Scribner,English,1416,17906,3.29,1,scribner
South of Broad,False,Pat Conroy,Fiction,2009.0,Nan A. Talese,English,5655,46677,3.8,1,nanatalese
Three Junes,False,Julia Glass,Fiction,2003.0,Anchor,English,2666,45825,3.56,1,anchor
"Wool Omnibus (Silo, #1)",True,Hugh Howey,Science Fiction,2012.0,Broad Reach Publishing,English,14135,177090,4.19,4,broadreachpublishing
The World Is Flat: A Brief History of the Twenty-first Century,False,Thomas L. Friedman,Nonfiction,2006.0,Farrar Straus and Giroux (NY),English,3589,105109,3.68,2,farrarstrausgiroux
Dry,False,Augusten Burroughs,Autobiography,2004.0,Picador USA,English,3580,96332,3.97,1,picador
"Crown of Midnight (Throne of Glass, #2)",True,Sarah J. Maas,Fantasy,2013.0,Bloomsbury USA Childrens,English,34290,454512,4.36,1,bloomsburychildrens
Bridge of Sighs,False,Richard Russo,Fiction,2007.0,Alfred A. Knopf,English,2686,26073,3.75,0,alfredaknopf
"Crescendo (Hush, Hush, #2)",True,Becca Fitzpatrick,Young Adult,2010.0,Simon & Schuster Books for Young Readers,English,11722,303378,4.0,1,simonschusterbooksforyoungreaders
"Unwind (Unwind, #1)",True,Neal Shusterman,Young Adult,2007.0,Simon & Schuster Books for Young Readers,English,19601,213707,4.15,5,simonschusterbooksforyoungreaders
"Marked (House of Night, #1)",True,P.C. Cast,Young Adult,2007.0,St. Martin's Press,English,14796,465627,3.8,1,stmartinspress
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",False,Erik Larson,History,2011.0,Crown,English,15300,185112,3.83,3,crown
"Artemis Fowl (Artemis Fowl, #1)",True,Eoin Colfer,Fantasy,2003.0,Disney-Hyperion,English,12577,535396,3.85,5,disneyhyperion
The Tender Bar: A Memoir,False,J.R. Moehringer,Autobiography,2006.0,Hyperion,English,2882,38023,3.88,1,hyperion
"The Throne of Fire (The Kane Chronicles, #2)",True,Rick Riordan,Fantasy,2011.0,Hyperion Books for Children,English,6509,188749,4.16,1,hyperionbooksforchildren
Quidditch Through the Ages,True,J.K. Rowling,Fantasy,2001.0,Scholastic,English,5948,168840,3.81,0,scholastic
The Line of Beauty,False,Alan Hollinghurst,Fiction,2004.0,Bloomsbury,English,1540,28212,3.7,2,bloomsbury
"Darkfever (Fever, #1)",True,Karen Marie Moning,Fantasy,2006.0,Delacorte Press,English,11101,176833,4.04,0,delacortepress
Winter's Bone,False,Daniel Woodrell,Fiction,2010.0,Little Brown and Company,English,3840,35540,3.85,2,littlebrowncompany
"The Scorch Trials (The Maze Runner, #2)",True,James Dashner,Young Adult,2010.0,Delacorte Press,English,27376,504251,3.9,0,delacortepress
Definitely Dead (Sookie Stackhouse #6),True,Charlaine Harris,Fantasy,2007.0,Ace Books,English,4110,204014,3.99,0,acebooks
"Torment (Fallen, #2)",True,Lauren Kate,Young Adult,2010.0,Delacorte Press,English,8157,228199,3.85,0,delacortepress
The Invention of Wings,False,Sue Monk Kidd,Historical,2014.0,Viking,English,24254,288253,4.23,3,viking
Steve Jobs,False,Walter Isaacson,Biography,2011.0,Simon & Schuster,English,19582,1077238,4.15,3,simonschuster
"Betrayed (House of Night, #2)",True,P.C. Cast,Young Adult,2007.0,St. Martin's Griffin,English,5679,258298,3.91,0,stmartinsgriffin
"Tiger's Voyage (The Tiger Saga, #3)",True,Colleen Houck,Fantasy,2011.0,Hodder & Stoughton,English,2300,37097,4.21,0,hodderstoughton
"Fables, Vol. 1: Legends in Exile",True,Bill Willingham,Sequential Art,2002.0,Vertigo,English,3565,136954,3.96,2,vertigo
The Cellist of Sarajevo,False,Steven Galloway,Fiction,2008.0,Riverhead Hardcover,English,4091,39496,3.95,5,riverheadhardcover
Until I Find You,False,John Irving,Fiction,2006.0,Ballantine Books,English,1615,25302,3.64,0,ballantinebooks
"Leviathan (Leviathan, #1)",True,Scott Westerfeld,Science Fiction,2009.0,Simon  Schuster Books for Young Readers,English,7132,95173,3.9,5,simonschusterbooksforyoungreaders
"Elantris (Elantris, #1)",True,Brandon Sanderson,Fantasy,2006.0,Tor Fantasy,English,12792,204225,4.17,0,torfantasy
The Prague Cemetery,False,Umberto Eco,Fiction,2011.0,Houghton Mifflin Harcourt,English,2472,24446,3.47,2,houghtonmifflinharcourt
Between Shades of Gray,False,Ruta Sepetys,Historical,2011.0,Philomel Books,English,22937,193565,4.34,5,philomelbooks
"A Dog's Purpose (A Dog's Purpose, #1)",True,W. Bruce Cameron,Fiction,2010.0,Forge,English,13658,122008,4.33,2,forge
"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",True,Stephenie Meyer,Young Adult,2010.0,Little Brown and Company,English,11320,199815,3.51,1,littlebrowncompany
I Am Pilgrim,False,Terry Hayes,Thriller,2014.0,Atria/Emily Bestler Books,English,11180,140866,4.26,2,atriaemilybestlerbooks
"The Reckoning (Darkest Powers, #3)",True,Kelley Armstrong,Young Adult,2010.0,Orbit,English,3676,121119,4.14,3,orbit
"Inkspell (Inkworld, #2)",True,Cornelia Funke,Fantasy,2005.0,The Chicken House,English,4254,124199,3.9,2,thechickenhouse
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",False,Christopher McDougall,Nonfiction,2009.0,Knopf,English,14930,184623,4.29,1,knopf
"Shatter Me (Shatter Me, #1)",True,Tahereh Mafi,Young Adult,2011.0,Harper,English,34730,371000,3.92,1,harper
"The Well of Ascension (Mistborn, #2)",True,Brandon Sanderson,Fantasy,2007.0,Tor Books,English,18391,335245,4.35,0,torbooks
"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",True,Terry Pratchett,Fantasy,2003.0,Unknown,English,2053,70632,4.16,3,unknown
زندگی مه آلود پریا,False,سید مرتضی مصطفوی,Unknown,2015.0,نشر داستان,Persian,133,959,3.89,0,
"Wicked Lovely (Wicked Lovely, #1)",True,Melissa Marr,Fantasy,2007.0,HarperTeen,English,7215,171509,3.69,3,harperteen
"Bloodlines (Bloodlines, #1)",True,Richelle Mead,Young Adult,2011.0,Razorbill,English,8511,184075,4.17,1,razorbill
Nothing to Envy: Ordinary Lives in North Korea,False,Barbara Demick,Nonfiction,2009.0,Spiegel & Grau,English,8099,74829,4.41,4,spiegelgrau
"TIME TRAVEL EXPERIENCES: In a Sense, we all are Time Travelers! We are surviving each and every Active Time-Point in this Timeline.......",False,Aldrin Mathew,Unknown,2017.0,ALDRIN MATHEW ENTERPRISES,English,29,39,4.79,0,aldrinmathewenterprises
"Soulless (Parasol Protectorate, #1)",True,Gail Carriger,Science Fiction,2009.0,Orbit,English,10528,112707,3.87,4,orbit
"The Cuckoo's Calling (Cormoran Strike, #1)",True,Robert Galbraith,Mystery,2013.0,Mulholland Books,English,34639,525685,3.87,3,mulhollandbooks
Why She Left Us,False,David Dennis,Suspense,2012.0,Createspace,English,40,5007,3.46,1,createspace
The Valley of Unknowing,False,Philip Sington,Historical,2012.0,W. W. Norton  Company,English,59,334,3.83,0,wwnortoncompany
"The Ruins of Gorlan (Ranger's Apprentice, #1)",True,John Flanagan,Fantasy,2006.0,Puffin Books,English,8263,137704,4.21,1,puffinbooks
Master of the Senate,True,Robert A. Caro,Biography,2003.0,Vintage,English,927,22256,4.29,5,vintage
Marvel 1602,True,Neil Gaiman,Sequential Art,2006.0,Marvel,English,1950,55229,3.94,1,marvel
"Where'd You Go, Bernadette",False,Maria Semple,Fiction,2012.0,Little Brown and Company,English,45142,520592,3.88,3,littlebrowncompany
The Gravedigger's Daughter,False,Joyce Carol Oates,Fiction,2007.0,Ecco,English,1186,9997,3.56,2,ecco
Just After Sunset,False,Stephen King,Horror,2008.0,Scribner Book Company,English,2837,49183,3.87,4,scribnerbookcompany
"Genghis: Birth of an Empire (Conqueror, #1)",True,Conn Iggulden,Historical,2008.0,Dell Publishing Company,English,1627,30696,4.34,1,dellpublishingcompany
Sapiens: A Brief History of Humankind,False,Yuval Noah Harari,Nonfiction,2015.0,Vintage,English,41766,691159,4.39,2,vintage
Melody Jackson and the House on Lafayette Street,False,B.M.B. Johnson,Fantasy,2014.0,CreateSpace Publishing,English,30,59,4.54,0,createspacepublishing
America (The Book): A Citizen's Guide to Democracy Inaction,False,Jon   Stewart,Humor,2004.0,Allen Lane,English,1438,96617,3.98,3,allenlane
"Walking On Air (Valance Family, #1)",True,Catherine Anderson,Romance,2014.0,Signet,English,340,1625,4.16,1,signet
"Blackwell's Wrath (The Vadelah Chronicles, #3)",True,Julie Rollins,Christian,2007.0,Gyroscope Books,English,5,43,4.33,0,gyroscopebooks
An Abundance of Katherines,False,John Green,Young Adult,2006.0,Dutton Books for Young Readers,English,25247,489686,3.55,3,duttonbooksforyoungreaders
Ghosts of Ophidian,False,Scott McElhaney,Business,2013.0,Superluminal,English,16,251,3.67,0,superluminal
Rant,False,Chuck Palahniuk,Fiction,2007.0,Doubleday Books,English,3079,63421,3.82,0,doubledaybooks
"Gone (Gone, #1)",True,Michael  Grant,Young Adult,2008.0,Katherine Tegen Books,English,11260,192810,3.86,1,katherinetegenbooks
Go Set a Watchman,True,Harper Lee,Fiction,2015.0,HarperCollins,English,30607,249376,3.32,2,harpercollins
Speedy Reads,False,Chris-Jean Clarke,Unknown,2015.0,BookRix.com,English,5,38,4.66,0,bookrixcom
"Song of Susannah (The Dark Tower, #6)",True,Stephen King,Fantasy,2006.0,Pocket Books,English,4171,146879,3.97,1,pocketbooks
Trueman Bradley - Aspie Detective,False,Alexei Maxim Russell,Mystery,2011.0,Jessica Kingsley Publishers,English,12,53,4.23,0,jessicakingsleypublishers
"Brother Odd (Odd Thomas, #3)",True,Dean Koontz,Horror,2006.0,Bantam,English,2534,64970,3.99,0,bantam
The Secret River,True,Kate Grenville,Historical,2007.0,Canongate U.S.,English,1816,19425,3.81,5,canongateus
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",True,Suzanne Collins,Young Adult,2010.0,Scholastic Press,English,6999,198842,4.48,1,scholasticpress
The Round House,False,Louise Erdrich,Fiction,2012.0,HarperCollins,English,10224,102659,3.96,5,harpercollins
Throne of Novoxos (Van Laven Chronicles #1),True,Tyler Chase,Science Fiction,,Unknown,English,128,5273,3.5,0,unknown
Life Expectancy,False,Dean Koontz,Horror,2005.0,Bantam Books,English,2002,37190,3.95,1,bantambooks
"Bone Crossed (Mercy Thompson, #4)",True,Patricia Briggs,Fantasy,2009.0,Orbit,English,3211,103176,4.32,3,orbit
Instruction Manual for the 21st Century Samurai,False,Alexei Maxim Russell,Cultural,2013.0,CreateSpace Independent Publishing Platform,English,4,86,3.83,0,createspaceindependentpublishingplatform
"Iron Kissed (Mercy Thompson, #3)",True,Patricia Briggs,Fantasy,2008.0,Ace,English,4073,119201,4.31,1,ace
"Hard Eight (Stephanie Plum, #8)",True,Janet Evanovich,Mystery,2003.0,St. Martin's Press,English,2328,122511,4.14,2,stmartinspress
"Six of Crows (Six of Crows, #1)",True,Leigh Bardugo,Fantasy,2015.0,Henry Holt & Company,English,64295,557289,4.47,5,henryholtcompany
Bossypants,False,Tina Fey,Nonfiction,2011.0,Reagan Arthur Books,English,40272,918555,3.95,3,reaganarthurbooks
"Dead Witch Walking (The Hollows, #1)",True,Kim Harrison,Fantasy,2004.0,HarperTorch,English,5061,124197,4.02,0,harpertorch
The Book of Salt,False,Monique Truong,Fiction,2004.0,Mariner Books,English,771,5343,3.52,5,marinerbooks
"Across the Nightingale Floor (Tales of the Otori, #1)",True,Lian Hearn,Fantasy,2002.0,Riverhead Books,English,2262,37706,4.06,5,riverheadbooks
The Children of Húrin,True,J.R.R. Tolkien,Fantasy,2007.0,HarperCollins,English,3608,74736,3.97,1,harpercollins
The Nix,False,Nathan  Hill,Fiction,2016.0,Knopf,English,7982,67350,4.05,2,knopf
"Phantom Wolf (Phantom Wolf, #1)",True,Kia Carrington-Russell,Fantasy,2014.0,Crystal Publishing,English,48,4929,3.52,0,crystalpublishing
"Shopaholic and Sister (Shopaholic, #4)",True,Sophie Kinsella,Womens Fiction,2006.0,Dell Publishing Company,English,2380,86631,3.67,0,dellpublishingcompany
"Lirael (Abhorsen, #2)",True,Garth Nix,Fantasy,2015.0,Eos,English,3307,118588,4.24,1,eos
Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,False,Nicholas D. Kristof,Nonfiction,2009.0,Knopf Publishing Group,English,5209,54423,4.26,1,knopfpublishinggroup
The Purpose Driven Life: What on Earth Am I Here for?,False,Rick Warren,Christian,2007.0,Zondervan Publishing Company,English,3491,249025,3.94,1,zondervanpublishingcompany
American Born Chinese,False,Gene Luen Yang,Sequential Art,2006.0,First Second,English,8538,82931,3.88,5,firstsecond
"Wolves of the Calla (The Dark Tower, #5)",True,Stephen King,Fantasy,2006.0,Pocket Books,English,4667,170878,4.16,1,pocketbooks
Peony in Love,False,Lisa See,Historical,2007.0,Random House,English,4616,45728,3.62,0,randomhouse
"The Devil Wears Prada (The Devil Wears Prada, #1)",True,Lauren Weisberger,Womens Fiction,2006.0,Anchor Books,English,9695,819348,3.77,0,anchorbooks
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,False,David Grann,Nonfiction,2009.0,Doubleday/Random House (NY),English,6449,84644,3.84,3,doubledayrandomhouse
Saving CeeCee Honeycutt,False,Beth Hoffman,Fiction,2010.0,Penguin Audio,English,8935,82868,3.92,1,penguinaudio
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,True,Todd Burpo,Nonfiction,2010.0,Thomas Nelson,English,15177,297015,4.0,0,thomasnelson
"Child 44 (Leo Demidov, #1)",True,Tom Rob Smith,Fiction,2009.0,Grand Central Publishing,English,6539,86301,4.08,5,grandcentralpublishing
"Lover Eternal (Black Dagger Brotherhood, #2)",True,J.R. Ward,Romance,2006.0,Signet,English,6949,183139,4.32,0,signet
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",True,Sarah J. Maas,Fantasy,2016.0,Bloomsbury USA Childrens,English,56246,551698,4.59,1,bloomsburychildrens
The Silver Linings Playbook,False,Matthew Quick,Fiction,2012.0,Sarah Crichton Books,English,12159,154949,3.98,1,sarahcrichtonbooks
"Trust: A New Beginning (Trust Trilogy, #1)",True,Cristiane Serruya,Romance,2012.0,CreateSpace,English,146,5487,3.49,1,createspace
Oblivion: Stories,False,David Foster Wallace,Short Stories,2005.0,Back Bay Books,English,962,13014,4.06,0,backbaybooks
The People of Paper,False,Salvador Plascencia,Fiction,2006.0,Mariner Books,English,590,4881,4.08,1,marinerbooks
My Life in France,False,Julia Child,Nonfiction,2006.0,Knopf Publishing Group,English,7616,89500,4.1,0,knopfpublishinggroup
Duma Key,False,Stephen King,Horror,2008.0,Scribner Book Company,English,5946,110827,3.94,2,scribnerbookcompany
The Inheritance of Loss,False,Kiran Desai,Fiction,2005.0,Grove Press,English,4162,49424,3.44,5,grovepress
Marie Antoinette: The Journey,False,Antonia Fraser,History,2006.0,Anchor Books,English,1259,38279,3.88,1,anchorbooks
"Are You There, Vodka? It's Me, Chelsea",False,Chelsea Handler,Humor,2007.0,HarperCollins Publishers,English,7005,162664,3.83,0,harpercollinspublishers
The God Complex,False,Chris Titus,Mystery,2011.0,CreateSpace,English,41,3523,3.84,0,createspace
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",True,Michelle Hodkin,Young Adult,2011.0,Simon & Schuster Books for Young Readers,English,16416,167443,4.02,0,simonschusterbooksforyoungreaders
"The Likeness (Dublin Murder Squad, #2)",True,Tana French,Mystery,2008.0,Viking Adult,English,10995,148671,4.04,0,vikingadult
Curiosity kills the KatHA,False,Ashok  Kallarakkal,Short Stories,2012.0,Leadstart   Corp.,English,11,72,3.71,1,leadstartcorp
The Lace Reader,True,Brunonia Barry,Fiction,2007.0,Flap Jacket Press,English,4390,27857,3.48,0,flapjacketpress
Alexander Hamilton,False,Ron Chernow,History,2005.0,Penguin Books,English,9071,159914,4.17,2,penguinbooks
"The Snowman (Harry Hole, #7)",True,Jo Nesbø,Mystery,2011.0,Knopf,English,9011,126168,4.01,1,knopf
"Persepolis 2: The Story of a Return (Persepolis, #2)",True,Marjane Satrapi,Sequential Art,2005.0,Pantheon Books,English,2757,73043,4.16,0,pantheonbooks
"The Angel Experiment (Maximum Ride, #1)",True,James Patterson,Young Adult,2006.0,Grand Central Publishing,English,9539,218761,4.06,2,grandcentralpublishing
"Heat: An Amateur's Adventures as Kitchen Slave, Line Cook, Pasta-Maker, and Apprentice to a Dante-Quoting Butcher in Tuscany",False,Bill Buford,Food and Drink,2006.0,Knopf,English,2012,23502,3.9,0,knopf
"1st to Die (Women's Murder Club, #1)",True,James Patterson,Mystery,2005.0,Grand Central Publishing,English,6857,316388,4.08,0,grandcentralpublishing
The Warmth of Other Suns: The Epic Story of America's Great Migration,False,Isabel Wilkerson,History,2010.0,Random House,English,9953,82726,4.39,5,randomhouse
"Where She Went (If I Stay, #2)",True,Gayle Forman,Young Adult,2011.0,Dutton Juvenile,English,20496,276829,4.0,4,duttonjuvenile
Meeting With Christ and Other Poems,False,Deepak Chaswal,Unknown,2013.0,Unknown,English,20,86,4.48,0,unknown
The Lost: A Search for Six of Six Million,False,Daniel Mendelsohn,Nonfiction,2006.0,Harper,English,706,7528,3.92,4,harper
Truth and Beauty,False,Ann Patchett,Autobiography,2005.0,Harper Perennial,English,3306,38985,3.93,2,harperperennial
"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",True,Terry Pratchett,Fantasy,2005.0,Corgi Childrens,English,2162,71772,4.25,4,corgichildrens
Circe,False,Madeline Miller,Fantasy,2018.0,Little Brown and Company,English,57752,551473,4.26,5,littlebrowncompany
The Botany of Desire: A Plant's-Eye View of the World,False,Michael Pollan,Nonfiction,2002.0,Random House Trade Paperbacks,English,3518,52332,4.04,1,randomhousetradepaperbacks
